imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,Type,OverallEffort_trimmedMean30,OverallEffort_mean,OverallEffort_sd,Answer.Q_COMPLEX_AVG,COMPLEX_sd,DIFFICULT_mean,DIFFICULT_sd,Intresting_mean,PAYMENT_mean,Intresting_sd,PAYMENT_sd,imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,Type,threshold,windows greater than threshold,largest connected window (no. of windows),The average size of connected regions,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less",a.count,a.innerHref(#),bonus,button,characters,div,fileSize,header.h1,header.h2,header.h3,header.h4,header.h5,img.count,img.over100px,img.under100px,input.count,input.required,input.type.button,input.type.checkbox,input.type.color,input.type.date,input.type.datetime,input.type.datetime-local,input.type.email,input.type.file,input.type.hidden,input.type.image,input.type.month,input.type.number,input.type.password,input.type.radio,input.type.range,input.type.reset,input.type.search,input.type.submit,input.type.tel,input.type.text,input.type.text.readonly,input.type.time,input.type.url,input.type.week,p,selection,span,textarea.count,video,z_sum_inputs,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,60 minutes,0.000000000000000,1,SV,14.90,15.86,6.18,0.57,0.94,0.21,0.43,8.36,0.08,6.21,0.06,31ZZN31VRB1J1I6XNAS9X9DBA59QRV,3600.0,0.0,1.0,1,0.2923,56.0,4.0,14.0,31.0,16.0,4.0,10.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.42,0.56,2.0,0.0,0.0,0.0,1849.0,49.0,9492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,5.0,14.0,5.0,194.0,4.433048433048433,8.0,0.041237113402061855
3203J2GC2PK4HSXGZ2GG107218V84Q,2hours,0.020000000000000,115,CC,47.50,47.90,16.48,6.60,4.90,4.80,4.59,2.50,0.17,3.31,0.08,3203J2GC2PK4HSXGZ2GG107218V84Q,7200.0,0.02,115.0,2,0.4488,30.0,2.0,15.0,3.0,10.0,6.0,10.0,8.0,5.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.88,2.0,0.0,1.0,1.0,3250.0,55.0,25511.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,24.0,34.0,19.0,600.0,3.3087557603686637,0.0,0.0
3203J2GC2PK4HSXGZ2GG1073Z7V84O,2hours,0.060000000000000,81,VV,54.33,55.54,22.01,5.92,6.84,5.31,4.94,2.08,0.51,2.56,0.64,3203J2GC2PK4HSXGZ2GG1073Z7V84O,7200.0,0.06,81.0,5,0.3547,49.0,3.0,12.25,30.0,18.0,9.0,11.0,6.0,15.0,4.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06,0.48,1.0,2.0,0.0,1.0,1.0,10370.0,74.0,225885.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,1.0,0.0,56.0,32.0,19.0,588.0,3.2876506024096384,0.0,0.0
3203J2GC2PK4HSXGZ2GG1074VAS84P,60minutes,0.050000000000000,273,CC,42.67,42.77,12.69,4.54,3.91,5.69,4.48,5.08,0.46,5.51,0.64,3203J2GC2PK4HSXGZ2GG1074VAS84P,3600.0,0.05,273.0,2,0.3263,9.0,2.0,4.5,4.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,31.0,0.0,0.0,25.0,13531.0,289.0,107486.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,49.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,15.0,24.0,40.0,0.0,0.0,60.0,184.0,77.0,3956.0,3.221329437545654,0.0,0.0
320GLP60AN5TS9K5PU8IGRVPKUZ14P,1 hours 30 minutes,0.010000000000000,269,CC,42.36,43.07,26.25,4.87,5.17,3.87,4.17,6.33,0.12,7.08,0.11,320GLP60AN5TS9K5PU8IGRVPKUZ14P,5400.0,0.01,269.0,2,0.4466,76.0,5.0,12.67,33.0,13.0,15.0,4.0,15.0,21.0,8.0,5.0,4.0,27.0,0.0,0.0,0.0,0.0,0.22,0.68,1.0,5.0,0.0,14.0,1.0,3096.0,47.0,34112.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,50.0,32.0,17.0,395.0,3.5609348914858097,12.0,0.030379746835443037
320GLP60AN6FM9FGZXIOL5AG38941T,5 hours,0.050000000000000,18,IA,46.71,52.55,21.31,9.09,5.36,7.64,4.80,9.09,1.90,6.06,3.99,320GLP60AN6FM9FGZXIOL5AG38941T,18000.0,0.05,18.0,3,0.274,52.0,2.0,17.33,36.0,30.0,21.0,11.0,5.0,8.0,11.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.09,0.3372,1.0,1.0,0.0,0.0,0.0,4961.0,17.0,11295.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,44.0,35.0,780.0,4.795151515151515,38.0,0.04871794871794872
323KIQYDLQ7S9UIT4NE6QLFONB14CB,60 Minutes,0.050000000000000,1496,CC,49.25,51.17,19.27,7.08,4.10,7.75,4.39,7.25,0.17,4.20,0.15,323KIQYDLQ7S9UIT4NE6QLFONB14CB,3600.0,0.05,1496.0,2,0.3055,24.0,2.0,12.0,13.0,12.0,5.0,2.0,12.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.68,1.0,0.0,0.0,0.0,1675.0,11.0,5956.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,2.0,19.0,14.0,227.0,4.5272108843537415,2.0,0.00881057268722467
3244QHISJ1ITNE98CFK36E7RG91L0N,60 Minutes,0.010000000000000,1,VV,18.63,20.40,13.86,0.90,1.60,1.30,2.11,6.90,0.05,6.08,0.04,3244QHISJ1ITNE98CFK36E7RG91L0N,3600.0,0.01,1.0,5,0.304,4.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.0,0.0,0.0,0.0,1017.0,14.0,4494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,2.0,128.0,4.502673796791444,2.0,0.015625
3244QHISK2XKVEPCAXDY38M44I9L04,24 hours,0.100000000000000,77,IA,37.64,42.87,25.74,5.93,5.44,5.67,5.22,9.20,7.13,5.98,18.83,3244QHISK2XKVEPCAXDY38M44I9L04,86400.0,0.1,77.0,3,0.3063,34.0,2.0,17.0,24.0,13.0,4.0,10.0,4.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2064,0.74,1.0,0.0,0.0,0.0,2158.0,12.0,8535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,27.0,6.0,268.0,4.241206030150754,2.0,0.007462686567164179
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,60 minutes,0.150000000000000,62,IF,58.86,61.27,16.70,9.00,5.06,9.27,5.50,6.82,0.18,5.84,0.07,329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,3600.0,0.15,62.0,4,0.2836,3.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,1.0,0.0,0.0,0.0,1642.0,8.0,5061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,22.0,13.0,232.0,4.377049180327869,12.0,0.05172413793103448
32GVUSPLEYOYH9SP841K39EVOUOK3Z,24 hours,0.100000000000000,72,IF,37.88,37.00,17.55,7.20,5.18,4.80,4.10,4.80,0.20,4.66,0.12,32GVUSPLEYOYH9SP841K39EVOUOK3Z,86400.0,0.1,72.0,4,0.5327,77.0,5.0,19.25,14.0,14.0,12.0,20.0,13.0,5.0,10.0,38.0,6.0,21.0,0.0,0.0,0.0,0.0,0.3696,0.76,0.96,1.0,0.0,0.0,0.0,1565.0,13.0,8193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,7.0,19.0,17.0,189.0,4.097643097643098,1.0,0.005291005291005291
32GVUSPLFZ61Q5EOZV799O813X5K3C,1 hour 40 minutes,0.300000000000000,9,IF,71.86,72.36,28.07,6.91,5.13,6.82,5.46,8.18,0.90,4.90,0.77,32GVUSPLFZ61Q5EOZV799O813X5K3C,6000.0,0.3,9.0,4,0.2158,53.0,7.0,10.8,30.0,26.0,25.0,19.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432,0.28,0.6364,0.0,0.0,0.0,0.0,2055.0,16.0,9450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,22.0,27.0,0.0,27.0,21.0,8.0,175.0,4.31358024691358,1.0,0.005714285714285714
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,45minutes,0.080000000000000,32,CC,40.63,45.00,17.29,3.92,5.18,5.58,4.81,6.17,0.19,5.46,0.12,32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,2700.0,0.08,32.0,2,0.2469,15.0,1.0,15.0,7.0,7.0,19.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.6176,6.0,0.0,0.0,2.0,9970.0,183.0,61873.0,0.0,0.0,1.0,4.0,0.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,0.0,10.0,204.0,33.0,1258.0,4.81877444589309,2.0,0.001589825119236884
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,15 minutes,0.150000000000000,92,CC,34.73,36.93,18.71,5.00,5.18,3.67,5.11,10.60,0.12,6.31,0.05,32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,900.0,0.15,92.0,2,0.3646,128.0,7.0,19.0,37.0,22.0,16.0,17.0,57.0,38.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.558,0.8,2.0,0.0,0.0,0.0,3902.0,8.0,8269.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,24.0,2.0,0.0,3.0,51.0,30.0,486.0,4.244594594594594,10.0,0.0205761316872428
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,10 minutes,0.020000000000000,1403,CC,30.75,32.50,8.11,3.40,3.31,4.00,4.24,6.70,0.08,5.03,0.06,32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,600.0,0.02,1403.0,2,0.5204,60.0,4.0,12.0,15.0,11.0,4.0,6.0,14.0,14.0,14.0,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.1056,0.66,1.0,2.0,0.0,0.0,0.0,599.0,0.0,2497.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,7.0,5.0,98.0,3.6090225563909772,3.0,0.030612244897959183
32WAV7G60PNC75TK9C1M3A29EH0D36,60 minutes,0.180000000000000,277,IF,53.71,54.45,18.82,8.64,4.54,6.73,3.88,4.64,0.21,4.50,0.09,32WAV7G60PNC75TK9C1M3A29EH0D36,3600.0,0.18,277.0,4,0.339,14.0,1.0,14.0,6.0,2.0,3.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,5.0,0.0,1.0,0.0,1938.0,9.0,6311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,28.0,9.0,226.0,4.2439024390243905,8.0,0.035398230088495575
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,1 hour 40 minutes,1.020000000000000,1,IA,55.20,57.36,24.97,8.00,6.64,8.93,6.73,6.36,1.63,6.45,3.16,32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,6000.0,1.02,1.0,3,0.2762,46.0,4.0,11.5,15.0,12.0,24.0,22.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044,0.72,376.0,0.0,1.0,2.0,28236.0,591.0,316688.0,0.0,5.0,1.0,0.0,0.0,487.0,57.0,51.0,384.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,186.0,1.0,1153.0,1.0,0.0,183.0,563.0,4.0,6743.0,4.073087818696884,0.0,0.0
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,10 minutes,0.050000000000000,35,IF,31.00,31.93,14.78,3.86,2.82,3.64,2.73,6.36,0.08,6.03,0.03,330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,600.0,0.05,35.0,4,0.4077,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,1129.0,7.0,4417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,20.0,4.0,138.0,4.402912621359223,2.0,0.014492753623188406
