imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,OverallEffort_trimmedMean30,OverallEffort_HubersMEstimatora,OverallEffort_TukeysBiweightb,OverallEffort_HampelsMEstimatorc,OverallEffort_AndrewsWaved,OverallEffort_mean,OverallEffort_median,OverallEffort_sd,OverallEffort_mean_byExperts,OverallEffort_median_byExperts,OverallEffort_sd_byExperts,z_score_weighting,COMPLEX_mean,COMPLEX_median,COMPLEX_sd,Intresting_mean,Intresting_median,Intresting_sd,DIFFICULT_mean,DIFFICULT_median,DIFFICULT_sd,PAYMENT_mean,PAYMENT_median,PAYMENT_sd,imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,threshold,windows greater than threshold,largest connected window (no. of windows),The average size of connected regions,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less",Type,a.count,a.innerHref(#),bonus,button,characters,div,fileSize,header.h1,header.h2,header.h3,header.h4,header.h5,img.count,img.over100px,img.under100px,input.count,input.required,input.type.button,input.type.checkbox,input.type.color,input.type.date,input.type.datetime,input.type.datetime-local,input.type.email,input.type.file,input.type.hidden,input.type.image,input.type.month,input.type.number,input.type.password,input.type.radio,input.type.range,input.type.reset,input.type.search,input.type.submit,input.type.tel,input.type.text,input.type.text.readonly,input.type.time,input.type.url,input.type.week,p,selection,span,textarea.count,video,z_sum_inputs,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,60 minutes,0.15,28,47.63636364,46.51465646,47.2945872,47.1007182,47.27968072,46.6,44,19.82,42.14,38,24.88,1.4022392726046655,6.33,4,5.27,4.47,3,5.14,8.93,10,4.5,1.68,0.18,4.68,3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,3600.0,0.15,28.0,0.6813,8.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,647.0,5.0,2779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,33.0,3.6402877697841727,30.0,0.9090909090909091
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,60 minutes,0.25,1,44.27272727,42.03373163,38.95852323,42.58019696,38.84981558,45.47,38,21.17,34.6,37,3.91,1.3718055774002125,6.87,5,5.83,10.47,10,6.32,4.4,2,3.91,0.34,0.25,0.19,3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,3600.0,0.25,1.0,0.4109,35.0,3.0,11.67,21.0,3.0,16.0,3.0,5.0,8.0,4.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,1.0,2,1.0,0.0,0.0,0.0,913.0,12.0,3612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,108.0,3.671641791044776,10.0,0.09259259259259259
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,3 hours,0.25,9,38.36363636,37.06600225,36.13104277,35.39250172,36.10435803,41.47,37,20.65,43.43,37.5,19.93,1.696828356234756,5.53,3,5.26,11.67,13,4.72,5.53,4,5.17,0.19,0.2,0.11,3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,10800.0,0.25,9.0,0.4454,5.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1.0,0.0,0.0,10.0,752.0,36.0,19443.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,7.0,1.0,34.0,4.6068376068376065,15.0,0.4411764705882353
3CTCX9NXB5M1LSUM0XPXZV8QE2WLJA,10 minutes,0,689,33.63636364,33.0377274,33.52889625,34.45549571,33.55333633,36.6,34,21.94,33,33.5,18.14,1.2319100250247614,4.53,4,4.81,9.93,10,6.12,4.67,2,5.34,0.24,0.11,0.31,3CTCX9NXB5M1LSUM0XPXZV8QE2WLJA,600.0,0.0,689.0,0.3441,166.0,13.0,28.0,73.0,56.0,73.0,79.0,35.0,14.0,16.0,27.0,24.0,4.0,0.0,0.0,0.0,0.0,0.46,0.7732,0.9808,3,42.0,0.0,6.0,0.0,8698.0,61.0,54383.0,2.0,2.0,0.0,0.0,0.0,40.0,0.0,1.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,3.0,12.0,2.0,0.0,13.0,111.0,37.0,2620.0,3.0662747194013895,38.0,0.01450381679389313
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,15 minutes,0.5,1,45.33333333,45.44107698,44.63067659,45.82168131,44.6488441,47.23,44,14.32,48.11,44,12.77,0.6432702906118337,8.23,10,4.23,9.38,12,6.37,7,6,2.86,6.64,0.5,17.52,3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,900.0,0.5,1.0,0.6193,61.0,6.0,12.2,13.0,1.0,3.0,1.0,2.0,8.0,32.0,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,2,1.0,0.0,0.0,0.0,1551.0,6.0,3327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,24.0,20.0,225.0,4.036065573770492,5.0,0.022222222222222223
3D00S7P7YG22I1NWJE5APKC40DIEZA,45 minutes,0.5,10,67.36363636,67.61206277,67.3592897,67.43689335,67.36710266,67.67,69,20.17,62.45,68,15.77,1.419618348421746,8.67,8,5.91,8.6,10,5.55,6.33,5,4.67,0.61,0.45,0.64,3D00S7P7YG22I1NWJE5APKC40DIEZA,2700.0,0.5,10.0,0.4198,3.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,4,1.0,0.0,0.0,0.0,508.0,7.0,2669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,49.0,4.10377358490566,3.0,0.061224489795918366
3D3KZYB03KLUXQ4AWC4FKH86OYE8VD,30 minutes,0.02,2,18.3,16.74613338,14.22282577,15.95769719,14.08864327,21.93,15.5,18.49,23.67,18,19.52,1.4956314072076125,3.43,1,5.24,8.5,10,5.16,2.64,1.5,3.46,0.07,0.05,0.09,3D3KZYB03KLUXQ4AWC4FKH86OYE8VD,1800.0,0.02,2.0,0.464,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0.0,0.0,0.0,0.0,482.0,6.0,6294.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,64.0,3.272727272727273,0.0,0.0
3203J2GC2PK4HSXGZ2GG1073Z7V84O,2hours,0.06,81,56.1,55.86543671,55.52472352,55.5739377,55.53580725,56.71,50.5,21.6,46,41,19.58,1.656897848886691,6.36,4,6.77,2,1.5,2.48,5.64,4.5,4.91,0.51,0.15,0.64,3203J2GC2PK4HSXGZ2GG1073Z7V84O,7200.0,0.06,81.0,0.3547,49.0,3.0,12.25,30.0,18.0,9.0,11.0,6.0,15.0,4.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06,0.48,1.0,5,2.0,0.0,1.0,1.0,10370.0,74.0,225885.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,1.0,0.0,56.0,32.0,19.0,588.0,3.2876506024096384,0.0,0.0
3D8B00U52IVJZWECZOBXRVFXL2U83O,2hours,0.01,83,46.77777778,46.14516337,44.66234472,46.91427688,44.53495836,50.08,39,21.27,49.63,53.5,17.52,1.3406106124947499,7.46,5,5.5,3.85,4,3.05,8.08,6,5.63,0.22,0.28,0.15,3D8B00U52IVJZWECZOBXRVFXL2U83O,7200.0,0.01,83.0,0.5211,21.0,2.0,10.5,1.0,3.0,4.0,5.0,4.0,7.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2,3.0,0.0,1.0,2.0,4923.0,64.0,74391.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0,0.0,23.0,38.0,20.0,721.0,3.3434782608695652,0.0,0.0
3D8B00U52IVJZWECZOBXRVFYHAV833,60 minutes,0.05,24,39.09090909,39.03421306,38.36421901,39.54764186,38.37609035,41.6,39,16.84,39.78,39,17.65,1.4195546746477203,5.53,4,6.09,3.67,2,5.22,4.87,4,4.82,0.16,0.11,0.14,3D8B00U52IVJZWECZOBXRVFYHAV833,3600.0,0.05,24.0,0.388,21.0,1.0,21.0,10.0,5.0,10.0,3.0,4.0,4.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.92,2,28.0,0.0,0.0,25.0,6733.0,253.0,69115.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,49.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,15.0,12.0,40.0,0.0,0.0,48.0,100.0,77.0,1231.0,3.1126506024096385,0.0,0.0
3DBJK6OC3AF4JLMP40JUKZIT4XNYF3,30minutes,0.2,12,52.54545455,53.16844861,54.95685628,53.61365023,54.98878995,51.27,55,21.47,56,56,19.06,1.0049700758064644,7.73,8,5.05,8.67,10,6.8,7.13,7,4.76,0.25,0.2,0.14,3DBJK6OC3AF4JLMP40JUKZIT4XNYF3,1800.0,0.2,12.0,0.3271,98.0,7.0,16.33,25.0,18.0,28.0,63.0,18.0,3.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.328,0.42,0.8116,4,10.0,0.0,6.0,0.0,5991.0,5.0,14755.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,1.0,0.0,4.0,77.0,57.0,951.0,3.943172179813401,0.0,0.0
3DECMKXKT815JCLN1RI1KKDJDFAMBB,15 minutes,0.01,1,46.72727273,45.52601072,45.01269824,45.76101878,45.23418742,47.47,44,21.41,49.86,37,30.73,1.5197554831378721,7.8,6,6.34,9.6,7,6.01,6.47,6,5.46,0.19,0.2,0.15,3DECMKXKT815JCLN1RI1KKDJDFAMBB,900.0,0.01,1.0,0.4176,203.0,34.0,19.09,71.0,42.0,30.0,33.0,46.0,36.0,58.0,44.0,20.0,0.0,0.0,0.0,0.0,0.0,0.6656,0.76,0.84,3,0.0,0.0,0.0,0.0,6009.0,1.0,13274.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,81.0,54.0,1233.0,4.1700743494423795,24.0,0.019464720194647202
3DPZKFEUURUGTQUQB4SOUUG5ZFPI4V,2minutes,0.07,2,67.5,67.33359741,67.86007107,67.24123949,67.85494666,65.64,66.5,19.97,65.4,65,13.87,0.7150400166381226,12,14.5,6.21,3.07,1.5,4.03,10.79,12,5.75,0.27,0.25,0.17,3DPZKFEUURUGTQUQB4SOUUG5ZFPI4V,120.0,0.07,2.0,0.3685,46.0,2.0,23.0,26.0,8.0,13.0,8.0,11.0,7.0,4.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.42,0.9,6,2.0,0.0,0.0,0.0,2606.0,8.0,7495.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,0.0,0.0,4.0,49.0,13.0,327.0,4.339130434782609,23.0,0.07033639143730887
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,15 minutes,0.05,3,38.625,36.93540898,36.50523454,37.76028685,36.49693307,37.8,36.5,11.54,38.33,35.5,8.57,0.16026971068768425,5.2,4,5.51,6.6,7.5,5.5,5,4,4.27,0.2,0.1,0.17,3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,900.0,0.05,3.0,0.251,43.0,7.0,10.75,23.0,18.0,19.0,11.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.5796,3,1.0,0.0,0.0,0.0,3638.0,15.0,11330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,16.0,4.0,0.0,7.0,57.0,23.0,496.0,3.9759358288770055,23.0,0.046370967741935484
3203J2GC2PK4HSXGZ2GG1074VAS84P,60minutes,0.05,273,44.2,43.61680871,43.12563718,43.07376596,43.15935272,47,42,19.98,38,38,12.37,1.5463879453703098,4.93,4,4.03,4.71,2,5.47,5.57,4,4.33,0.46,0.15,0.64,3203J2GC2PK4HSXGZ2GG1074VAS84P,3600.0,0.05,273.0,0.3263,9.0,2.0,4.5,4.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,2,31.0,0.0,0.0,25.0,13531.0,289.0,107486.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,49.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,15.0,24.0,40.0,0.0,0.0,60.0,184.0,77.0,3956.0,3.221329437545654,0.0,0.0
