imageID, Answer.Q_ABILITY, Answer.Q_COMPLEX, Answer.Q_DIFFICULT, Answer.Q_Intresting, Answer.Q_OverallEffort, Answer.Q_TAKE
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,4,10,5,77,4
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,1,2,18,27,16
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,1,1,2,38,12
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,1,2,1,33,1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,0,0,7,26,4
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,7,2,13,39,20
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,4,6,12,27,12
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,17,13,1,66,0
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,3,2,14,30,16
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,6,6,10,51,18
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,3,9,14,39,10
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,6,6,2,37,4
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,6,6,14,71,15
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,14,12,14,38,16
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,1,0,0,20,26,19
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,4,4,13,38,20
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,2,9,2,94,3
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,2,0,20,27,20
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,0,1,2,27,2
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,7,10,5,54,1
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,1,2,1,36,0
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,0,0,12,19,20
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,7,0,0,14,0
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,0,0,10,3,20
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,1,-1,-1,-1,-1,-1
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,2,2,16,37,16
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,4,3,1,39,1
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,5,1,4,39,1
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,11,1,0,51,0
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,14,6,8,101,6
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,2,3,1,26,19
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,0,4,6,36,7
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,5,2,3,47,3
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,10,10,2,48,3
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,1,1,2,2,38,8
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,6,3,12,54,14
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,1,1,13,14,17
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,4,3,0,34,0
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,2,2,18,25,18
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,1,1,19,37,20
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,5,6,6,35,14
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,13,11,10,38,2
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,10,10,18,61,18
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,8,6,12,50,13
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1,1,1,18,24,14
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,8,12,16,45,20
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,5,6,7,31,13
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,6,4,2,27,4
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,0,1,5,56,2
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,8,8,7,58,16
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,0,0,10,1,15
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,0,0,0,14,20
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,2,4,8,13,10
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,1,1,1,21,8
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,1,2,1,2,13,3
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,11,11,11,29,12
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,0,16,0,85,1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,2,3,3,43,6
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,12,17,0,143,0
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,18,17,2,119,3
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,1,4,2,16,20
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,12,12,16,72,0
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,11,5,3,72,0
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,1,16,8,0,72,0
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,0,19,17,1,113,0
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,0,0,20,7,20
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,2,1,10,38,18
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,2,2,10,20,19
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,1,1,9,27,16
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,2,2,11,27,7
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,3,7,14,41,15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,2,1,16,41,20
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,10,0,16,42,17
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,1,2,16,21,17
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,1,1,1,6,30,3
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,18,13,3,101,1
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,20,20,0,114,0
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,14,6,2,109,1
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,1,1,2,16,0
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,8,9,18,56,4
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,0,5,2,2,-1,3
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,7,1,12,37,13
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,16,16,14,85,6
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,18,20,20,148,20
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,1,20,20,5,102,0
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,0,0,11,3,11
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,1,3,7,34,20
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,8,2,10,39,19
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,2,2,14,50,18
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,6,1,2,67,0
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,4,4,0,25,0
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,4,2,18,71,16
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,11,10,2,44,1
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,0,2,20,111,20
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,1,10,10,0,28,0
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,5,4,16,20,19
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,8,6,10,47,5
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,1,1,20,41,20
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,1,1,4,18,1
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,1,1,12,19,18
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,1,1,16,14,19
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,0,0,12,30,16
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,0,0,20,39,20
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,0,0,0,7,13,8
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,1,0,1,10,8,14
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,8,7,10,38,10
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,4,3,11,20,4
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,2,2,16,10,16
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,1,2,20,20,20
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,2,2,0,12,2
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,2,1,5,36,11
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,3,3,2,24,7
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,7,7,4,51,2
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,10,3,3,64,2
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,1,4,4,8,29,12
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,0,0,10,2,12
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,8,2,12,25,19
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,3,3,9,28,4
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,2,2,18,25,18
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,8,1,3,39,3
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,10,10,0,14,0
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,4,4,10,14,20
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,2,0,14,20,20
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,2,2,14,6,18
3T6UNEUZ5USMH6KL5FCL3O350KM199_1,1,1,0,16,7,20
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,3,3,10,19,16
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,8,3,10,41,9
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,2,4,10,37,20
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,-1,-1,-1,-1,-1
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,0,0,10,17,15
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,0,2,8,27,4
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,-1,-1,-1,-1,-1
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,12,4,20,57,18
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,1,0,-1,10,38,19
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,0,5,3,5,39,1
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,2,3,14,35,19
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,16,15,15,103,15
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,2,2,4,27,6
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,0,0,12,2,10
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,7,10,12,30,19
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,9,10,6,53,4
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,0,0,10,26,14
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,4,3,4,15,0
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,0,0,10,26,16
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,1,6,4,14,37,16
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,0,10,0,71,1
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,3,0,0,27,4
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,0,0,14,26,20
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,15,1,0,99,1
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,0,0,8,14,14
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,5,1,0,38,0
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,14,6,9,72,8
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,2,2,1,20,2
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,2,2,16,71,14
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,1,0,4,1,40,4
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,13,9,3,77,5
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,14,4,10,49,0
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,6,4,2,46,2
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,0,0,20,140,20
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,18,12,18,56,18
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,13,16,16,91,16
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,7,7,12,39,12
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,6,7,13,61,12
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,12,10,12,60,7
3PHLPV04IQDPW55WV8WBZJA231AP7O,1,8,4,12,74,14
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,14,14,9,55,7
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,18,18,2,57,4
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,4,0,16,48,18
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,-1,-1,-1,-1,-1
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,8,3,17,27,15
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,4,10,10,38,5
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,9,7,10,41,7
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,1,2,18,28,19
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,13,12,3,56,5
3I3RVCR3FK2XEB4GMX9G7IJ2RLH6XI,1,5,3,9,38,11
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,-1,-1,-1,-1,-1
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,0,0,20,57,20
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,0,0,17,11,20
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,2,2,14,16,19
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,2,1,6,27,18
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,0,0,10,0,12
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,2,2,14,44,20
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,4,6,12,21,18
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,12,12,16,38,14
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,1,1,0,10,41,20
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,18,16,0,72,0
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,1,2,9,27,10
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,16,10,20,39,20
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,1,1,1,27,1
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,1,6,2,36,1
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,3,3,3,30,6
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,0,1,15,13,18
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,5,5,1,69,1
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,4,5,4,48,6
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,1,0,2,14,22,19
330XZFCZ7RB627L6HWI9543W690TXG,1,0,0,10,29,20
330XZFCZ7RB627L6HWI9543W690TXG,1,12,14,5,63,5
330XZFCZ7RB627L6HWI9543W690TXG,1,9,7,7,75,13
330XZFCZ7RB627L6HWI9543W690TXG,1,13,13,9,57,8
330XZFCZ7RB627L6HWI9543W690TXG,1,10,10,10,35,12
330XZFCZ7RB627L6HWI9543W690TXG,1,9,10,18,48,20
330XZFCZ7RB627L6HWI9543W690TXG,1,5,5,6,47,3
330XZFCZ7RB627L6HWI9543W690TXG,1,10,14,6,56,10
330XZFCZ7RB627L6HWI9543W690TXG,1,4,4,11,26,11
330XZFCZ7RB627L6HWI9543W690TXG,1,0,0,2,6,0
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,2,2,14,35,18
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,4,13,2,71,4
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,0,1,14,74,2
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,3,5,2,30,3
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,13,8,12,26,13
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,9,8,4,34,12
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,8,0,18,58,20
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,0,1,16,29,18
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,2,4,2,31,1
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,1,4,3,5,26,13
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,0,0,20,14,20
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,-1,-1,-1,-1,-1
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,2,2,11,30,11
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,5,4,10,24,10
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,10,10,0,58,0
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,6,6,12,11,14
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,6,5,11,35,14
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,6,6,14,19,14
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,6,4,16,50,19
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,1,1,1,13,5,0
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,11,11,10,35,12
3NXBKB5598TPF5MRSRS8QPZELKSL9C,0,20,19,6,95,0
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,9,5,15,42,16
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,12,8,14,69,18
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,4,6,6,47,5
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,3,2,1,59,10
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,15,10,0,69,0
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,8,4,13,50,16
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,7,5,8,57,-1
3NXBKB5598TPF5MRSRS8QPZELKSL9C,1,10,3,10,50,6
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,11,6,11,54,10
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,6,6,9,38,10
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,3,5,0,56,4
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,18,17,17,87,1
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,0,1,14,38,18
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,10,4,4,38,6
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,1,3,14,28,19
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,14,10,0,58,1
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,2,6,16,41,18
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,1,0,5,5,26,6
3244QHISJ1ITNE98CFK36E7RG91L0N,1,1,4,13,33,16
3244QHISJ1ITNE98CFK36E7RG91L0N,1,0,0,2,14,20
3244QHISJ1ITNE98CFK36E7RG91L0N,1,0,0,8,4,8
3244QHISJ1ITNE98CFK36E7RG91L0N,1,1,1,16,23,20
3244QHISJ1ITNE98CFK36E7RG91L0N,1,0,0,10,1,12
3244QHISJ1ITNE98CFK36E7RG91L0N,1,-1,-1,-1,-1,-1
3244QHISJ1ITNE98CFK36E7RG91L0N,1,5,6,14,51,16
3244QHISJ1ITNE98CFK36E7RG91L0N,1,0,0,4,27,0
3244QHISJ1ITNE98CFK36E7RG91L0N,1,0,0,16,27,20
3244QHISJ1ITNE98CFK36E7RG91L0N,1,12,16,18,113,18
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,0,1,0
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,1,10,38,-1
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,6,28,20
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,1,1,16,14,20
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,0,6,1
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,19,2,20
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,11,19,12
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,1,0,20,102,20
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,17,31,20
3E9JM64F23SDM8DQUQW3OKIR1A0NP8,1,0,0,10,4,20
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,1,5,1,18,47,18
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,1,14,6,0,64,0
