imageID,WorkerId,Input.timeAlloted,Input.reward,Input.hitsAvailable,Answer.Q_ABILITY,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_FREQUENCY,Answer.Q_Intresting,Answer.Q_OverallEffort,Answer.Q_PAYMENT,Answer.Q_TAKE,Answer.vreward
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A1YY98SJG37KSU,5 hours,3,1,Y,4,2,12,16,71,3,18,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A2XLEJ7UPW51RD,5 hours,3,1,Y,1,0,11,19,37,0.5,20,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,AO0PXYM02MJCW,5 hours,3,1,Y,4,2,6,16,81,1,16,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,AB1IYOW97MBMR,5 hours,3,1,Y,2,2,4,12,28,$3,19,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,AB7QN439WP6RY,5 hours,3,1,Y,3,4,4,16,53,3,18,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,ASN25PIODXIPJ,5 hours,3,1,Y,4,2,14,18,57,2,20,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A2RG7VZAKGDEXI,5 hours,3,1,Y,10,0,15,12,26,2,13,3
33FLRCV01N0NF725EJLGLLU8UGYORG,A2Z1O9OKSW8MNU,60 seconds,0.1,100,N,11,11,1,1,50,0.08,1,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,A1L0X2BYAGPFEA,60 seconds,0.1,100,Y,0,13,13,0,85,0.1,-1,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,A1U7AAKEZ4YXZD,60 seconds,0.1,100,Y,6,4,16,16,70,0.3,16,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,AXV4XY9UNODNP,60 seconds,0.1,100,Y,18,17,1,1,62,0.25,1,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,A2S4BU23GT93ZD,60 seconds,0.1,100,Y,9,12,2,4,75,0.25,2,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,AQJFDUI58Y0FV,60 seconds,0.1,100,Y,14,13,3,14,68,0.25,5,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,A28S6TTII9JDNI,60 seconds,0.1,100,Y,2,4,2,2,40,0.1,2,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,AQRI1E9W5268O,60 seconds,0.1,100,Y,7,13,1,1,72,0.5,0,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,A20Z8Q65CFTBV7,60 seconds,0.1,100,Y,17,14,1,2,102,0.4,1,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,A1F3IJU2HXZ0PQ,60 seconds,0.1,100,Y,0,0,0,0,19,0.15,0,0.1
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A88QVXE9H03O8,3minutes,0.2,10,Y,2,9,0,0,77,1,0,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A2Z1O9OKSW8MNU,3minutes,0.2,10,Y,10,10,2,3,55,0.06,2,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A1U9S8YI7CKIR4,3minutes,0.2,10,Y,10,13,6,6,59,0.1,11,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A2HR7ZIX42FEPG,3minutes,0.2,10,N,20,20,0,0,120,0.7,0,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A3298CNSQI60HU,3minutes,0.2,10,Y,12,14,9,6,62,0.5,7,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A28S6TTII9JDNI,3minutes,0.2,10,Y,10,8,2,4,64,2,2,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A1N74ERDRWKMC2,3minutes,0.2,10,Y,-1,-1,-1,-1,-1,0.03,-1,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A3ET9X8TXMGXDI,3minutes,0.2,10,Y,9,11,7,9,38,0.02,7,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,A3OLRWACCCCUTU,3minutes,0.2,10,Y,1,1,7,7,34,0.15,8,0.2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,AGQPTDG6ZF3T3,3minutes,0.2,10,Y,6,6,16,16,38,0.2,18,0.2
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A2LV5432PV1S39,30 minutes,0.05,11486,Y,12,15,13,16,76,5,10,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,AO0PXYM02MJCW,30 minutes,0.05,11486,Y,16,16,0,4,102,0.15,2,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A1VL7507UONPX0,30 minutes,0.05,11486,Y,11,14,1,6,55,0.3,1,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A1FP3SH704X01V,30 minutes,0.05,11486,Y,10,10,18,14,74,0.2,11,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A3OLRWACCCCUTU,30 minutes,0.05,11486,Y,10,6,10,2,57,0.11,3,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A2HTN7HCNBQ8V4,30 minutes,0.05,11486,Y,6,7,9,8,38,0.1,10,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,AQJFDUI58Y0FV,30 minutes,0.05,11486,Y,1,13,3,6,82,0.5,1,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A1U0GNE5ELW5V7,30 minutes,0.05,11486,Y,3,3,14,10,44,0.1,16,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A1T4MC1F4TKX9Z,30 minutes,0.05,11486,Y,-1,10,0,0,37,0.05,10,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,AXV4XY9UNODNP,30 minutes,0.05,11486,Y,11,11,5,2,49,0.25,2,0.05
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A2S4BU23GT93ZD,2 hours,0.1,1,Y,8,5,12,6,49,0.1,13,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A2N962G55T9MOB,2 hours,0.1,1,Y,0,0,1,10,3,0.1,10,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A1FL20WGFRJS1T,2 hours,0.1,1,N,12,18,2,4,41,0.1,2,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A1P08V29SHY950,2 hours,0.1,1,Y,12,12,4,4,56,0.5,3,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,AB7QN439WP6RY,2 hours,0.1,1,Y,0,2,18,12,24,0.1,16,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A1I8Z7HLS1ZU5Q,2 hours,0.1,1,Y,4,10,7,5,77,0.25,4,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,AYM12AQJVZ66N,2 hours,0.1,1,Y,1,2,18,18,27,0.05,16,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A340UGIDGIF4W6,2 hours,0.1,1,Y,1,1,19,2,38,0.15,12,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,A2Z1O9OKSW8MNU,2 hours,0.1,1,Y,1,2,1,1,33,0.06,1,0.1
35QUA2ABY634ZYN782PTB2BL5I8EGJ,AJ74BNWTCX0MJ,2 hours,0.1,1,Y,0,0,5,7,26,0.12,4,0.1
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A18RH223NQXT25,24 hours,0.02,24,Y,7,2,15,13,39,0.02,20,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A1FL20WGFRJS1T,24 hours,0.02,24,Y,4,6,12,12,27,0.05,12,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A1CWDCM0WHXQXZ,24 hours,0.02,24,Y,17,13,0,1,66,1,0,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A2XLEJ7UPW51RD,24 hours,0.02,24,Y,3,2,0,14,30,0.02,16,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A1L0X2BYAGPFEA,24 hours,0.02,24,Y,6,6,16,10,51,0.15,18,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,AN3MYYTLXX9R8,24 hours,0.02,24,Y,3,9,10,14,39,0.05,10,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A1P08V29SHY950,24 hours,0.02,24,Y,6,6,2,2,37,0.25,4,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A28FW73RBVGYZ9,24 hours,0.02,24,Y,6,6,5,14,71,0.2,15,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A3PYEW6693PCHT,24 hours,0.02,24,Y,14,12,10,14,38,0.07,16,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,A3EBUBRYCKB6AF,24 hours,0.02,24,Y,0,0,16,20,26,0.15,19,0.02
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A255Z4U24Y2SP8,45 minutes,0.03,24394,Y,4,4,20,13,38,0.15,20,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A1X94LTZZQMHTP,45 minutes,0.03,24394,Y,2,9,5,2,94,20,3,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A1T4MC1F4TKX9Z,45 minutes,0.03,24394,Y,2,0,20,20,27,0.01,20,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A3QNMUHAFAJRQO,45 minutes,0.03,24394,Y,0,1,4,2,27,0.08,2,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A1VL7507UONPX0,45 minutes,0.03,24394,Y,7,10,2,5,54,0.4,1,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A2WCV7ULUPKVNQ,45 minutes,0.03,24394,Y,1,2,1,1,36,0.15,0,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A3OHGWG7ULA1MF,45 minutes,0.03,24394,Y,0,0,20,12,19,0.03,20,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A3U761PEG7MFKT,45 minutes,0.03,24394,Y,7,0,1,0,14,0.03,0,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A1L0X2BYAGPFEA,45 minutes,0.03,24394,Y,0,0,20,10,3,0.03,20,0.03
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A20USVYLTA4PYQ,45 minutes,0.03,24394,Y,-1,-1,-1,-1,-1,0.03,-1,0.03
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,AYM12AQJVZ66N,60minutes,0.05,51,Y,2,2,18,16,37,0.1,16,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,AXV4XY9UNODNP,60minutes,0.05,51,Y,4,3,1,1,39,0.3,1,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A3RIFUEQ95MR16,60minutes,0.05,51,Y,5,1,1,4,39,0.25,1,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A1YY98SJG37KSU,60minutes,0.05,51,Y,11,1,0,0,51,0.2,0,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A2D563QZFLUW9H,60minutes,0.05,51,Y,14,6,4,8,101,0.75,6,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A340UGIDGIF4W6,60minutes,0.05,51,Y,2,3,18,1,26,0.07,19,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A2HR7ZIX42FEPG,60minutes,0.05,51,Y,0,4,4,6,36,0.05,7,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A2CK0OXMPOR9LE,60minutes,0.05,51,Y,5,2,4,3,47,0.5,3,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,AVOF14300525D,60minutes,0.05,51,Y,10,10,3,2,48,0.1,3,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A255Z4U24Y2SP8,60minutes,0.05,51,Y,1,2,12,2,38,0.1,8,0.05
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A2RG7VZAKGDEXI,20 minutes,0.07,489,Y,6,3,11,12,54,0.3,14,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A39J5RLVDTM6SM,20 minutes,0.07,489,Y,1,1,16,13,14,0.02,17,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A1F3IJU2HXZ0PQ,20 minutes,0.07,489,Y,4,3,0,0,34,0.15,0,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A1FL20WGFRJS1T,20 minutes,0.07,489,Y,2,2,16,18,25,0.07,18,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A15GKHNAWVZ9HD,20 minutes,0.07,489,Y,1,1,20,19,37,0.2,20,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A340UGIDGIF4W6,20 minutes,0.07,489,Y,5,6,4,6,35,0.1,14,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A1C7FH4P7EKUBE,20 minutes,0.07,489,Y,13,11,0,10,38,0.15,2,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,ASN25PIODXIPJ,20 minutes,0.07,489,Y,10,10,10,18,61,0.2,18,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A1I8Z7HLS1ZU5Q,20 minutes,0.07,489,Y,8,6,9,12,50,0.02,13,0.07
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,AGPGCMNDSKZGT,20 minutes,0.07,489,Y,1,1,10,18,24,0.1,14,0.07
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A3ET9X8TXMGXDI,5 minutes,0.03,192,Y,8,12,16,16,45,0.05,20,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A2S4BU23GT93ZD,5 minutes,0.03,192,Y,5,6,13,7,31,0.03,13,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A2B6WQG0A9CKXQ,5 minutes,0.03,192,Y,6,4,4,2,27,0.1,4,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,AQJFDUI58Y0FV,5 minutes,0.03,192,Y,0,1,4,5,56,0.15,2,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A18RH223NQXT25,5 minutes,0.03,192,Y,8,8,10,7,58,0.02,16,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A2N962G55T9MOB,5 minutes,0.03,192,Y,0,0,13,10,1,0.05,15,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A3GKXKMOZB0YMN,5 minutes,0.03,192,Y,0,0,2,0,14,0.05,20,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,AQP74RCFA4CF8,5 minutes,0.03,192,Y,2,4,8,8,13,0.15,10,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A2WCV7ULUPKVNQ,5 minutes,0.03,192,Y,1,1,3,1,21,0.07,8,0.03
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,A2Z1O9OKSW8MNU,5 minutes,0.03,192,Y,2,1,2,2,13,0.02,3,0.03
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A39J5RLVDTM6SM,60 Minutes,0.1,71,Y,11,11,8,11,29,0.05,12,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2U31V169A20GY,60 Minutes,0.1,71,Y,0,16,2,0,85,0.25,1,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A88QVXE9H03O8,60 Minutes,0.1,71,Y,2,3,6,3,43,1,6,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A610SH5RY1NG1,60 Minutes,0.1,71,Y,12,17,0,0,143,0.75,0,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2YJQUHFIXNOY0,60 Minutes,0.1,71,Y,18,17,4,2,119,0.25,3,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A292IMAU5EW3MN,60 Minutes,0.1,71,Y,1,4,20,2,16,0.03,20,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,ASN25PIODXIPJ,60 Minutes,0.1,71,Y,12,12,20,16,72,0.2,0,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,AEHTP1POPUQMB,60 Minutes,0.1,71,Y,11,5,0,3,72,0.5,0,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2D563QZFLUW9H,60 Minutes,0.1,71,Y,16,8,0,0,72,0.5,0,0.1
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2H74STYH3PLT1,60 Minutes,0.1,71,N,19,17,1,1,113,0.25,0,0.1
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,AXV4XY9UNODNP,30 minutes,0.15,1,Y,0,0,20,20,7,0.25,20,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,AQP74RCFA4CF8,30 minutes,0.15,1,Y,2,1,17,10,38,0.2,18,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,AOQDUK8U5IGIV,30 minutes,0.15,1,Y,2,2,14,10,20,0.03,19,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A2Z1O9OKSW8MNU,30 minutes,0.15,1,Y,1,1,15,9,27,0.35,16,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A3RIFUEQ95MR16,30 minutes,0.15,1,Y,2,2,6,11,27,0.05,7,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A3298CNSQI60HU,30 minutes,0.15,1,Y,3,7,17,14,41,0.4,15,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,ALOYY3E72AQ1K,30 minutes,0.15,1,Y,2,1,8,16,41,0.15,20,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A3U21PUMQ6NGT2,30 minutes,0.15,1,Y,10,0,16,16,42,0.25,17,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A88QVXE9H03O8,30 minutes,0.15,1,Y,1,2,7,16,21,0.2,17,0.15
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A2WCV7ULUPKVNQ,30 minutes,0.15,1,Y,1,1,4,6,30,0.2,3,0.15
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A2FUMA4UR6S920,60minutes,0.04,34,Y,18,13,1,3,101,3,1,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A182JPWW2L2PJD,60minutes,0.04,34,Y,20,20,0,0,114,0.04,0,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A610SH5RY1NG1,60minutes,0.04,34,Y,14,6,1,2,109,0.75,1,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A1GOLJMO4GID3I,60minutes,0.04,34,Y,1,1,0,2,16,0.04,0,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,AQJFDUI58Y0FV,60minutes,0.04,34,Y,8,9,2,18,56,0.4,4,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A2CK0OXMPOR9LE,60minutes,0.04,34,N,5,2,2,2,-1,.,3,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A3QNMUHAFAJRQO,60minutes,0.04,34,Y,7,1,0,12,37,0.2,13,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A3PYEW6693PCHT,60minutes,0.04,34,Y,16,16,4,14,85,0.2,6,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A15GKHNAWVZ9HD,60minutes,0.04,34,Y,18,20,14,20,148,1.5,20,0.04
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A4PGF2WE94TJA,60minutes,0.04,34,Y,20,20,0,5,102,0.25,0,0.04
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,A2N962G55T9MOB,60 minutes,0.01,79,Y,0,0,1,11,3,0.05,11,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,A2WEJYAMB1YSG,60 minutes,0.01,79,Y,1,3,3,7,34,0.2,20,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,AWMQYV1RQM94M,60 minutes,0.01,79,Y,8,2,20,10,39,0.4,19,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,ASN25PIODXIPJ,60 minutes,0.01,79,Y,2,2,14,14,50,0.1,18,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,A610SH5RY1NG1,60 minutes,0.01,79,Y,6,1,5,2,67,0.25,0,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,A1F3IJU2HXZ0PQ,60 minutes,0.01,79,Y,4,4,0,0,25,0.1,0,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,ASL1MFFPUB2ZW,60 minutes,0.01,79,Y,4,2,14,18,71,0.05,16,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,AJAPJJTISC36L,60 minutes,0.01,79,Y,11,10,2,2,44,0.1,1,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,A15GKHNAWVZ9HD,60 minutes,0.01,79,Y,0,2,20,20,111,0.25,20,0.01
3LBF4GRVWQC3B97WPKKEJO5WDODDDG,A1T4MC1F4TKX9Z,60 minutes,0.01,79,Y,10,10,0,0,28,0.05,0,0.01
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A340UGIDGIF4W6,10minutes,0.02,15,Y,5,4,11,16,20,0.05,19,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A1X94LTZZQMHTP,10minutes,0.02,15,Y,8,6,5,10,47,10,5,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A15GKHNAWVZ9HD,10minutes,0.02,15,Y,1,1,20,20,41,0.15,20,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A2WCV7ULUPKVNQ,10minutes,0.02,15,Y,1,1,6,4,18,0.05,1,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A1A9SPY4MTKX6Z,10minutes,0.02,15,Y,1,1,15,12,19,0.05,18,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A20Z8Q65CFTBV7,10minutes,0.02,15,Y,1,1,8,16,14,0.05,19,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A2LV5432PV1S39,10minutes,0.02,15,Y,0,0,2,12,30,0.1,16,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A2D563QZFLUW9H,10minutes,0.02,15,Y,0,0,0,20,39,0.05,20,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A3U761PEG7MFKT,10minutes,0.02,15,N,0,0,0,7,13,0.02,8,0.02
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,AB7QN439WP6RY,10minutes,0.02,15,Y,0,1,6,10,8,0.02,14,0.02
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,A2HR7ZIX42FEPG,10 minutes,0.05,35,Y,8,7,3,10,38,0.05,10,0.05
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,A3U21PUMQ6NGT2,10 minutes,0.05,35,Y,4,3,4,11,20,0.1,4,0.05
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,A1FL20WGFRJS1T,10 minutes,0.05,35,Y,2,2,16,16,10,0.05,16,0.05
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,A1FP3SH704X01V,10 minutes,0.05,35,Y,1,2,20,20,20,0.05,20,0.05
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,A1F3IJU2HXZ0PQ,10 minutes,0.05,35,Y,2,2,4,0,12,0.1,2,0.05
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,ALOYY3E72AQ1K,10 minutes,0.05,35,Y,2,1,8,5,36,0.08,11,0.05
