imageID,WorkerId,Answer.Q_OverallEffort,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_Intresting,Answer.Q_TAKE,Answer.Q_FREQUENCY,OverallEffort_mean
3MXFP9RGE565H89AY0KXMF94YTQB2U,A3QNMUHAFAJRQO,37,4,8,2,1,0,61.00
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,A2ZATH9519RF58,3,0,0,20,20,20,2.33
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,AGP3BS5J1HRJQ,2,0,1,15,20,16,2.33
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,A3OLRWACCCCUTU,2,0,0,2,20,14,2.33
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,A2RG7VZAKGDEXI,2,0,0,5,3,11,2.33
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,A3PYEW6693PCHT,1,0,0,0,20,20,2.33
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,A03922113RU44GENR8ATX,4,0,0,8,6,7,2.33
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A2ZATH9519RF58,20,0,0,17,18,18,54.57
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A3ET9X8TXMGXDI,59,4,10,10,4,4,54.57
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A1F3IJU2HXZ0PQ,41,12,13,0,1,6,54.57
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A28S6TTII9JDNI,65,4,10,10,10,10,54.57
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A374STD2W8N1U8,113,18,18,0,2,2,54.57
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A1U0GNE5ELW5V7,42,2,2,14,20,8,54.57
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,AFIFVNL3CREJN,42,7,9,8,8,8,54.57
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,ALOYY3E72AQ1K,8,1,2,8,6,9,64.00
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,A3HMBHM8HJLKRD,59,13,13,0,0,0,64.00
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,AB7QN439WP6RY,81,8,4,8,2,2,64.00
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,A19LVWX8ZLO6CS,82,11,11,0,0,0,64.00
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,A3U761PEG7MFKT,71,7,5,1,0,0,64.00
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,AFIFVNL3CREJN,76,2,5,9,10,6,64.00
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,A2WCV7ULUPKVNQ,71,2,8,0,0,0,64.00
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,AAURYRJDZQIDH,35,10,2,12,18,18,41.43
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,A19LVWX8ZLO6CS,35,4,4,10,20,12,41.43
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,A1F3IJU2HXZ0PQ,13,2,0,0,2,10,41.43
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,AQP74RCFA4CF8,34,1,0,5,1,0,41.43
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,A2LV5432PV1S39,32,0,0,11,15,15,41.43
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,A2HTN7HCNBQ8V4,61,16,13,5,3,3,41.43
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,A1YY98SJG37KSU,80,14,4,1,1,1,41.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A3OLRWACCCCUTU,41,2,3,6,7,6,67.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A28S6TTII9JDNI,94,16,16,10,1,1,67.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A2435PZYVK2552,61,5,6,2,1,2,67.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A2HR7ZIX42FEPG,72,10,10,7,15,8,67.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,AGQPTDG6ZF3T3,86,14,14,17,14,10,67.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A1X0H6VAK3AQE9,68,2,3,2,0,12,67.43
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A2WCV7ULUPKVNQ,50,1,3,1,0,0,67.43
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A2HR7ZIX42FEPG,15,0,0,10,15,4,37.57
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A19LVWX8ZLO6CS,28,0,2,0,11,0,37.57
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A2S4BU23GT93ZD,53,4,8,13,15,16,37.57
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A1X0H6VAK3AQE9,49,3,4,2,3,3,37.57
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A2YJQUHFIXNOY0,40,6,5,17,20,18,37.57
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A28S6TTII9JDNI,52,2,10,4,10,10,37.57
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A5TI9UQEPLNWI,26,3,10,4,3,2,37.57
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A3298CNSQI60HU,11,6,2,16,15,12,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A1F3IJU2HXZ0PQ,1,0,0,0,20,20,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A1XJ9VFOJ4LP2X,1,0,0,0,20,10,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A1L11JDXS2HK51,10,0,0,20,20,14,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A19LVWX8ZLO6CS,14,0,0,10,20,16,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A3RIFUEQ95MR16,39,1,1,1,2,0,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,AYM12AQJVZ66N,1,0,0,19,20,19,10.88
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A26913CR59ATI9,10,0,0,20,20,20,10.88
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A1Y50NM443ITPK,38,1,0,10,7,12,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A1AZU9E0U16J6B,14,0,0,8,20,10,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A19LVWX8ZLO6CS,21,0,0,10,16,14,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A5TI9UQEPLNWI,6,0,0,15,17,15,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A1CYNV91NQD4VK,4,0,0,3,18,10,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A2C2G6WIE6VO2C,12,0,0,13,19,2,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,AFIFVNL3CREJN,20,1,1,10,18,10,16.00
3XKJYHBF2QXEJ36G795O9QJC5X59SV,A2SBN9B6Q3DN2X,13,0,0,4,20,19,16.00
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A1A9SPY4MTKX6Z,70,20,20,0,0,0,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A20Z8Q65CFTBV7,113,20,19,0,0,0,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,AWMQYV1RQM94M,72,14,13,16,1,1,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A36TE52PSYAAD6,97,16,14,18,16,8,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A1L0X2BYAGPFEA,51,10,10,20,20,10,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,AQP74RCFA4CF8,141,10,8,1,1,0,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A2U31V169A20GY,113,4,16,0,4,7,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,AC5UD8N187QD6,55,8,9,8,3,3,91.44
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A1X0H6VAK3AQE9,111,16,18,13,0,0,91.44
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A2CK0OXMPOR9LE,85,3,4,6,4,3,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A340UGIDGIF4W6,37,10,14,10,16,16,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A1FL20WGFRJS1T,1,0,0,10,0,4,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A1U0GNE5ELW5V7,30,2,2,16,19,10,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A2LV5432PV1S39,70,11,7,17,17,14,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A1X0H6VAK3AQE9,68,8,8,4,0,4,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A2DS7GIC3JM5YF,86,2,14,16,2,12,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A2XLEJ7UPW51RD,57,12,2,4,3,0,54.33
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,AQJFDUI58Y0FV,55,1,1,15,0,2,54.33
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A3PYEW6693PCHT,27,2,2,12,11,10,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A28S6TTII9JDNI,50,10,10,10,2,4,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A1M3VJEHKWDP8I,29,0,0,10,20,0,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,AQP74RCFA4CF8,76,5,13,10,1,2,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A18RH223NQXT25,39,6,4,11,6,6,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A28S6TTII9JDNI,44,2,2,10,14,10,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,AGPGCMNDSKZGT,17,1,2,9,14,8,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A2ICKJ2ZGOVLP9,87,14,6,10,2,6,44.89
3JT4BYK2Y4IL1Z22PAHP7P5PI0U2WH,A2VRDE2FHCBMF8,35,2,3,6,13,12,44.89
3FKD865UZQBJZ4661LLBINGENHPMUO,AJAPJJTISC36L,102,14,14,7,8,4,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A2WEJYAMB1YSG,82,11,9,6,8,3,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A3D46S3V9SYXTT,62,12,12,18,17,14,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A2HR7ZIX42FEPG,44,4,4,10,14,11,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A28EL15HGXUJ5X,38,10,12,4,5,4,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A1X0H6VAK3AQE9,49,2,2,7,0,8,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A2CDM78GVCICO5,43,0,8,0,0,0,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,AW4AHMQ7EN4QI,86,6,12,14,11,6,61.67
3FKD865UZQBJZ4661LLBINGENHPMUO,A360G7Q6RO5XRL,49,0,6,0,0,0,61.67
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A19OH5PQ7ZZ6UV,72,14,15,2,4,4,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A1FP3SH704X01V,114,12,12,2,0,1,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,AWJ5TLP0KOYFX,57,12,14,0,0,0,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,AGXZAVCNU7E4T,92,15,16,2,3,7,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A3JRTXSXU2IJEJ,75,16,14,8,4,10,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A3L60SOWLYEDN2,85,16,16,10,12,0,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A1M3VJEHKWDP8I,45,7,8,10,14,0,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A3PYEW6693PCHT,101,18,18,14,1,0,82.56
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A2B6WQG0A9CKXQ,102,16,12,12,10,2,82.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A1VA47LGZONMM8,21,0,0,10,10,4,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,AQRI1E9W5268O,38,6,6,8,4,6,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A28FW73RBVGYZ9,42,6,10,13,15,6,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A1CH3TODZNQCES,76,0,2,2,1,2,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,AWMQYV1RQM94M,61,9,6,14,8,4,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A1CYNV91NQD4VK,58,7,0,4,0,10,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A2SBN9B6Q3DN2X,96,16,15,16,19,19,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A360G7Q6RO5XRL,57,12,10,2,1,1,56.56
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A2B6WQG0A9CKXQ,60,8,7,10,16,14,56.56
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A340UGIDGIF4W6,47,12,12,17,16,13,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A3EBUBRYCKB6AF,47,1,0,7,0,0,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A2CDM78GVCICO5,58,9,15,0,0,0,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A1A9SPY4MTKX6Z,56,6,10,0,0,0,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A19LVWX8ZLO6CS,38,5,1,12,16,10,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A39J5RLVDTM6SM,72,16,17,6,4,4,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A2WEJYAMB1YSG,40,4,3,5,0,0,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A2XLEJ7UPW51RD,65,14,10,0,0,0,51.22
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A1M3VJEHKWDP8I,38,8,2,6,2,0,51.22
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A2RG7VZAKGDEXI,55,4,6,15,15,17,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A19LVWX8ZLO6CS,37,0,0,0,16,12,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A35BY30TC8WCL4,32,3,3,8,6,6,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A2CDM78GVCICO5,36,0,4,0,0,0,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,AYM12AQJVZ66N,39,16,16,2,2,4,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A2ICKJ2ZGOVLP9,33,5,4,10,14,15,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A1U0GNE5ELW5V7,47,4,6,12,18,1,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A1GF29TP5AVQ49,34,5,5,7,14,15,40.44
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A1YY98SJG37KSU,51,14,4,1,1,1,40.44
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,AJAPJJTISC36L,35,1,2,16,17,16,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A35BY30TC8WCL4,11,1,2,4,16,12,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,AQJFDUI58Y0FV,120,7,13,16,4,13,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A39J5RLVDTM6SM,41,11,7,12,12,12,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,AGPGCMNDSKZGT,73,6,6,12,15,8,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A19LVWX8ZLO6CS,44,6,4,9,0,0,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A35VBQUAIJUPYP,72,18,18,0,0,0,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A1T4MC1F4TKX9Z,73,10,10,2,0,0,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A19DOARRVT6ZNN,56,3,3,12,18,16,55.10
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A2ICKJ2ZGOVLP9,26,4,6,10,9,8,55.10
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2D563QZFLUW9H,72,16,8,0,0,0,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A39J5RLVDTM6SM,29,11,11,11,12,8,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2YJQUHFIXNOY0,119,18,17,2,3,4,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A88QVXE9H03O8,43,2,3,3,6,6,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,AEHTP1POPUQMB,72,11,5,3,0,0,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A1F3IJU2HXZ0PQ,62,10,10,0,0,0,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A35BY30TC8WCL4,13,1,1,0,7,6,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A1YY98SJG37KSU,38,2,1,0,0,1,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,ASN25PIODXIPJ,72,12,12,16,0,20,60.50
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A2U31V169A20GY,85,0,16,0,1,2,60.50
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A3QNMUHAFAJRQO,37,7,1,12,13,0,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A182JPWW2L2PJD,114,20,20,0,0,0,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A2FUMA4UR6S920,101,18,13,3,1,1,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A1XJ9VFOJ4LP2X,38,0,0,17,13,17,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A1X0H6VAK3AQE9,51,3,3,11,0,2,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A4PGF2WE94TJA,102,20,20,5,0,0,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A1YY98SJG37KSU,72,16,8,4,0,1,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,AQJFDUI58Y0FV,56,8,9,18,4,2,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A3PYEW6693PCHT,85,16,16,14,6,4,72.00
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,A1R4KVYEV07CAJ,64,8,3,1,10,12,72.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A3298CNSQI60HU,88,12,5,8,17,16,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A2ZATH9519RF58,60,11,9,8,9,2,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,AB7QN439WP6RY,26,0,2,12,17,7,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A18RH223NQXT25,80,14,16,12,9,7,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A1CUB65DPTJV2Q,27,7,7,12,17,8,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A2XLEJ7UPW51RD,47,6,10,0,0,0,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A1X0H6VAK3AQE9,52,9,6,11,1,1,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A2LV5432PV1S39,99,19,18,15,0,4,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,A1JV64BL3WCK0G,71,7,9,4,11,7,65.00
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_2,AQJFDUI58Y0FV,100,2,18,10,0,2,65.00
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A3PYEW6693PCHT,71,8,8,4,2,4,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A2RG7VZAKGDEXI,39,4,1,16,16,12,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A1A9SPY4MTKX6Z,84,13,12,0,1,0,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,AJAPJJTISC36L,47,8,8,12,6,12,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A9KPCMO1J1LQF,53,8,10,10,0,6,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A2U31V169A20GY,111,20,20,0,2,1,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A1L8EDNM7HZZAX,88,16,10,3,0,3,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A28S6TTII9JDNI,52,4,4,10,10,14,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A3P9OTCAYB6E9V,28,1,4,11,2,3,61.40
3K3X4GGOSLN6JKEE0NBXYD5PV12MCO,A1M3VJEHKWDP8I,41,4,4,9,10,6,61.40
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,AWMQYV1RQM94M,31,6,6,10,6,6,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A3PYEW6693PCHT,27,4,2,10,20,14,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A19LVWX8ZLO6CS,33,0,1,3,14,10,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A1L8ZQ4A13OGWX,32,3,0,13,18,5,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,AZFHYAYP6LF5O,36,1,1,7,7,8,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,AQP74RCFA4CF8,101,13,15,4,3,1,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A360G7Q6RO5XRL,47,4,6,14,18,1,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A2XLEJ7UPW51RD,14,0,10,0,2,0,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A35BY30TC8WCL4,14,1,2,0,2,2,38.50
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A1X0H6VAK3AQE9,50,8,4,4,18,0,38.50
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A2Z1O9OKSW8MNU,27,2,2,10,16,14,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A1VL7507UONPX0,29,5,3,12,18,6,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A1L0X2BYAGPFEA,51,10,10,0,0,10,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,AGQPTDG6ZF3T3,58,12,12,8,8,8,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A1YY98SJG37KSU,66,14,6,4,10,10,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A1X0H6VAK3AQE9,85,8,12,4,0,6,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,AAURYRJDZQIDH,101,18,4,2,14,16,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A2DS7GIC3JM5YF,55,11,10,14,20,20,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,A1I8Z7HLS1ZU5Q,65,4,8,15,13,13,59.40
3R7DCNC1NOV5HU26IA2C7R0658YUDF,ASL1MFFPUB2ZW,57,10,2,10,18,14,59.40
37ZHE2JT1D250TKIB56TICN73UQ88W,A3OLRWACCCCUTU,8,0,1,4,4,4,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,A2S4BU23GT93ZD,50,6,4,3,8,5,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,A1A9SPY4MTKX6Z,70,14,17,0,0,2,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,A1C7FH4P7EKUBE,20,1,4,1,4,1,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,A3HMBHM8HJLKRD,53,6,9,4,6,9,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,A1T4MC1F4TKX9Z,27,10,10,20,20,20,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,AWJ5TLP0KOYFX,4,0,4,4,1,0,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,A2HTN7HCNBQ8V4,21,3,3,10,11,8,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,AT9SK56IXQJP,39,2,2,6,8,14,34.80
37ZHE2JT1D250TKIB56TICN73UQ88W,AQJFDUI58Y0FV,56,0,9,1,2,6,34.80
