imageID,WorkerId,Input.timeAlloted,Input.reward,Input.hitsAvailable,Answer.Q_ABILITY,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_FREQUENCY,Answer.Q_Frustration,Answer.Q_Intresting,Answer.Q_OverallEffort,Answer.Q_Performance,Answer.Q_TAKE,TLX,TLX_RAW
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,A19LVWX8ZLO6CS,60 minutes,0.1,3,Y,2,2,0,1,0,37,1,0,6.33,5
3IOQH27Z2E4FFLJVR8TNNB4HIMC1IN,A19LVWX8ZLO6CS,60 minutes,0.1,81,Y,2,2,0,1,0,37,2,0,10.33,7.5
3U2H1DGWOPTCKLUQYVRKVZHY3Q4F4G,A19LVWX8ZLO6CS,2 days,0.04,335,Y,1,1,0,1,0,38,1,0,9,8.33
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,A19LVWX8ZLO6CS,5 minutes,0.02,152,Y,1,2,0,12,0,38,1,0,10,14.17
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_1,A19LVWX8ZLO6CS,3minutes,0.05,1,Y,0,2,0,0,0,28,1,11,15.67,12.5
3U6BJ3K2B9GQGJVT0E99IGFE7I2MEG,A19LVWX8ZLO6CS,40 minutes,0.05,112,Y,2,0,0,3,0,39,2,0,10.33,9.17
37672WDDC2JA93V4O46FCCJ2VAJNM9,A19LVWX8ZLO6CS,30 minutes,0.25,1,Y,0,0,10,0,10,33,0,20,3.33,2.5
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,A19LVWX8ZLO6CS,5 minutes,0.1,1,Y,0,0,2,0,0,21,1,20,2.33,1.67
3HVLA9UQN4GKVQOHDHMDH1A7KETU66,A19LVWX8ZLO6CS,7 days,1,1,Y,8,10,12,4,12,47,7,14,30.33,23.33
3GZMSD8U5X9MRGKQIZ546O8UKC795T,A19LVWX8ZLO6CS,60minutes,0.05,17,Y,1,0,2,10,0,41,1,0,10.67,13.33
3J5HEGTZRLQ9SE8SW9LZS2A15OXGGI,A19LVWX8ZLO6CS,5 minutes,0.06,5,Y,2,1,0,0,14,36,3,18,7.33,5
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,A19LVWX8ZLO6CS,60 minutes,0.05,1,Y,5,1,10,0,12,38,2,16,7.33,5
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,A19LVWX8ZLO6CS,10 minutes,0.01,493,Y,0,1,0,11,0,31,2,0,32.33,29.17
369VX4MEOJAKM0DV8XRK62EAJWKGI1,A19LVWX8ZLO6CS,3minutes,0.15,1,Y,4,2,16,0,10,19,2,20,18.33,14.17
3C2UN3Y7UJLGZT23JF159R7GHEFMFI,A19LVWX8ZLO6CS,6hours,0.17,4,N,20,20,0,10,0,113,20,0,53.33,41.67
3J06FGISMVRO4EVZMT2NFJ1KME95KI,A19LVWX8ZLO6CS,60 minutes,0.01,5498,Y,0,0,1,1,1,18,1,1,1.67,1.67
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,A19LVWX8ZLO6CS,45 minutes,0.03,24394,Y,0,0,2,2,0,33,0,2,4.33,4.17
3Z1VWDJDMCXXDMC10K62ECWQF20F8X,A19LVWX8ZLO6CS,5 minutes,0.05,4805,Y,0,0,8,0,2,17,0,19,1,0.83
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A19LVWX8ZLO6CS,2 hours,2.8,1,N,18,18,0,19,0,92,15,0,73,61.67
3M35MA94IX9MX6PXAQCG5JTOJ1HNO3,A19LVWX8ZLO6CS,60 minutes,0.03,10,Y,0,0,0,1,0,30,0,0,5,4.17
3589VT1T2BGMXIVHZGNGS492OQIJN8,A19LVWX8ZLO6CS,5 minutes,0.03,938,Y,0,0,0,1,0,34,1,0,4,3.33
34KQN2TBKTGWLIK008X22C5QD2JSAJ,A19LVWX8ZLO6CS,45 minutes,0.04,1205,Y,3,1,0,9,0,62,4,0,22.33,20.83
30E2X49V611K26Z0IIHLB47CQY63NG,A19LVWX8ZLO6CS,60minutes,0.01,1,Y,1,1,0,2,0,32,1,0,6.67,5.83
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A19LVWX8ZLO6CS,15 minutes,0.05,3,Y,0,0,12,2,0,37,1,16,3,3.33
3K3X4GGOSLN9WHITSDB41LMDI6SMCK,A19LVWX8ZLO6CS,15 minutes,0.05,1022,Y,3,4,17,3,6,36,2,16,11,9.17
3G2I6FODBC43UCDM72LBPP8Z9I0L60,A19LVWX8ZLO6CS,2minutes,0.1,1,Y,0,0,8,1,0,24,0,18,25.33,20.83
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,A19LVWX8ZLO6CS,10 minutes,0.02,1403,Y,2,1,0,2,0,29,1,0,6.33,5.83
3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,A19LVWX8ZLO6CS,3hours,0.35,4,Y,3,3,0,4,1,51,2,0,12.33,10.83
32WAV7G60PNC75TK9C1M3A29EH0D36,A19LVWX8ZLO6CS,60 minutes,0.18,277,Y,1,0,0,1,0,32,2,10,6.33,5
36HGGQAXL6L87J29O35QD9YQWSFBVG,A19LVWX8ZLO6CS,24 hours,0.04,13,Y,0,0,10,0,11,22,0,12,1,0.83
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,A19LVWX8ZLO6CS,60 minutes,0.25,1,Y,0,1,14,1,10,34,2,20,10,7.5
3LV0310AAZ5BVL06B1AU1YGZUNKDKM,A19LVWX8ZLO6CS,45 minutes,0,1,Y,4,2,10,4,6,43,2,0,22,17.5
3FOA7RUSUPLLDDXZNITMB1EHL6FPGL,A19LVWX8ZLO6CS,60 minutes,0.1,6971,Y,1,0,17,0,3,32,1,20,4.67,3.33
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,A19LVWX8ZLO6CS,60 minutes,0.04,10,Y,0,1,2,0,1,36,1,17,5.67,4.17
3GZMSD8U5X9MRGKQIZ546O8UKB695Q,A19LVWX8ZLO6CS,60minutes,0.05,41,Y,0,0,0,12,0,46,1,0,13.33,15.83
3UXCLCQO2V425H8F0OVWTKIEO3N20G,A19LVWX8ZLO6CS,60 minutes,0.3,1377,Y,4,4,0,4,2,46,4,0,21.67,17.5
39VNNFFKK59EW3XI1HP5P046ZAXXVP,A19LVWX8ZLO6CS,15 minutes,0.05,831,Y,11,0,0,10,0,48,0,10,10.67,14.17
3HBZ8AD97D3GZ7VEBIN9M18U9EHNN5,A19LVWX8ZLO6CS,60 minutes,0.1,149,Y,1,0,0,1,10,31,1,11,6.67,5
3LV0310AAZ5BVL06B1AU1YGZUNKDKM_2,A19LVWX8ZLO6CS,45 minutes,0,1,Y,3,2,10,10,0,46,4,0,22.67,22.5
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,A19LVWX8ZLO6CS,60minutes,0.2,2557,Y,1,0,0,4,0,37,2,0,7.33,7.5
3F0Z1FPMUNWB7D1EFV5M6IVBAHELYR,A19LVWX8ZLO6CS,10 minutes,0.06,100,Y,1,2,11,2,10,36,2,20,10,8.33
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,A19LVWX8ZLO6CS,2 hours,0.07,2828,Y,2,2,1,1,3,27,2,0,6.67,5
3F12ASV6AWHSTTB7IFZKMVGLLVZM46,A19LVWX8ZLO6CS,1 hours 23 minutes,3.73,1,Y,4,6,10,3,12,57,3,20,29.33,22.5
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,A19LVWX8ZLO6CS,30 minutes,0.3,1,Y,11,10,11,10,11,48,10,10,46.67,38.33
31QBDMKNDPO96CGOU6OI3UH1N96L85,A19LVWX8ZLO6CS,2 hours,0.62,1,Y,1,10,0,7,10,51,2,8,12.33,12.5
3QNALI7B4S6VALH9K67QLF1VCK3Z5B,A19LVWX8ZLO6CS,60 minutes,1.5,219,Y,0,0,0,0,6,33,0,20,5,6.67
3AA189Q6B52Z6L7EV3NS06BHCKRWMY,A19LVWX8ZLO6CS,3 hours,0.1,278,Y,0,0,10,0,0,20,1,16,4.67,3.33
3OQEO5BIM1SME8SFQJ108NKG2ZKU9F_2,A19LVWX8ZLO6CS,60 minutes,0.2,9,Y,8,0,0,8,0,49,4,0,34,28.33
3USZNBD0ID5Y2E7UC1NHCD5VH1M51A,A19LVWX8ZLO6CS,60 minutes,0.01,40,Y,1,2,0,4,0,32,1,0,6.33,6.67
3P6UG6V268Y9VTMB4YR44MFGIGC4NX,A19LVWX8ZLO6CS,10 minutes,0.35,50,Y,1,2,0,0,0,36,1,17,3.67,2.5
3NJ4SYXGOJNVJBRMT3TGCL1CL9UBNQ,A19LVWX8ZLO6CS,5 hours,0.3,1,Y,4,1,2,0,0,36,2,12,7.33,5
3OQEO5BIM1SME8SFQJ108NKG2ZKU9F,A19LVWX8ZLO6CS,60 minutes,0.2,9,Y,2,3,0,2,1,44,2,0,8,6.67
3MNPSGWWOQV9GBTQIUTZ7HIZXBCPUY,A19LVWX8ZLO6CS,24 hours,0.15,36,Y,0,2,6,1,5,37,2,8,7.67,5.83
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP_1,A19LVWX8ZLO6CS,30 Minutes,0.04,86,Y,14,10,1,14,0,49,4,0,46,41.67
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A19LVWX8ZLO6CS,2 minutes,0.05,9515,Y,0,2,0,2,0,34,3,0,26.33,21.67
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,A19LVWX8ZLO6CS,20 minutes,0.5,1,Y,4,4,0,0,4,37,1,10,6.33,7.5
31QOF9ABLNAV27TO4PXO0GLATWO1L1,A19LVWX8ZLO6CS,10 minutes,0.45,98,Y,8,9,0,3,0,47,9,0,28.33,21.67
3SBA6YTBY276L0SZ55XU5R7VV8FOBP,A19LVWX8ZLO6CS,3 minutes,0.2,64,Y,0,2,0,3,0,37,0,10,7,6.67
3K0G5SYNALYS7SB8UL3I5RQZNM3M85,A19LVWX8ZLO6CS,3hours,0.35,42,Y,2,4,4,3,10,49,2,10,15,12.5
3R35RPFD7J1GHLW8Y5PUB7E29XSP1C,A19LVWX8ZLO6CS,10 minutes,0.02,84,Y,0,0,0,6,0,33,1,0,8,9.17
3R7DCNC1NO24TFH8BGUHQFOR9KEUDP,A19LVWX8ZLO6CS,60 minutes,0.05,399,Y,9,4,0,10,0,50,2,0,30.67,28.33
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,A19LVWX8ZLO6CS,1 W 3 days,0.3,1,Y,11,11,0,10,0,82,5,0,35.67,30.83
3NXBKB5598TPF5MRSRS8QPZELKSL9C,A19LVWX8ZLO6CS,5 days,0.15,14,Y,6,4,0,4,0,50,4,2,18.33,15
3U47UEJKWC7M32113CRLFBCBUKFBLV,A19LVWX8ZLO6CS,60 minutes,0.05,22,Y,1,0,0,2,0,19,1,0,7.67,6.67
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,A19LVWX8ZLO6CS,3 hours,0.03,133,Y,0,0,10,0,0,23,0,12,1.33,0.83
3J567DP9LLBDQUW0322ZJ0FWFWZFPB,A19LVWX8ZLO6CS,45 minutes,0.07,90,Y,1,0,4,1,2,37,1,8,5.33,4.17
3OQEO5BIN29PS6BYUHRH0ABF87P9UL,A19LVWX8ZLO6CS,2 hours,0.9,1,Y,3,5,5,3,10,46,2,11,18.67,15
3VXAY8PXA67ITFS0HYENNTH6AGPBUQ,A19LVWX8ZLO6CS,3 hours,0.25,1,Y,0,0,10,0,0,37,1,20,6,4.17
3FKD865UZQG0HB1FDHAJVT0FL3FMUG,A19LVWX8ZLO6CS,60minutes,0.05,933,Y,1,0,0,2,0,36,1,0,6.67,5.83
3XH5NKQXD1CEK1G2OFNXP2YO5CGQ1D,A19LVWX8ZLO6CS,10 minutes,0.05,6,Y,6,6,0,7,0,51,4,0,24.33,20.83
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A19LVWX8ZLO6CS,10 daysays,0.3,2,N,20,20,0,10,0,113,20,0,53.33,41.67
3Z1VWDJDNDED63DNWYEYK1BZJ9X8FQ,A19LVWX8ZLO6CS,10 minutes,0.01,70584,Y,0,0,10,0,0,18,1,12,2.33,1.67
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,A19LVWX8ZLO6CS,30 minutes,0.05,11486,Y,11,2,2,12,0,51,10,0,36,30.83
3MQJWSYXOHGDXJ3GAF96UH2KF625OC,A19LVWX8ZLO6CS,2 hours,0.8,1703,Y,11,10,0,10,11,49,2,0,24,31.67
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,A19LVWX8ZLO6CS,45minutes,0.08,32,Y,0,2,0,4,0,45,0,0,5.33,5.83
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,A19LVWX8ZLO6CS,6 minutes,0.01,29,Y,0,0,0,0,0,30,1,0,3.67,2.5
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A19LVWX8ZLO6CS,10 minutes,0.03,6,Y,1,1,0,2,0,37,1,0,5.67,5
3XQ5ITPVVXEK5RIJJ0S4JMU41HATQO,A19LVWX8ZLO6CS,60minutes,0.05,24476,Y,1,1,0,8,0,36,0,0,6.33,9.17
3PBMWYW3D44FHQ3H0CBK078FM1J2XZ,A19LVWX8ZLO6CS,60 minutes,0.06,3,Y,3,1,0,4,0,30,2,0,8.67,8.33
3K9T2ON9ZE5ORLPELXZMHUO84LJMTT,A19LVWX8ZLO6CS,10 minutes,0.1,1,Y,0,0,11,0,10,27,0,11,2.67,1.67
3YJAOW5N8OUDFKNJJE4VLVI018MNS9,A19LVWX8ZLO6CS,60minutes,0.04,6512,N,20,20,0,10,0,113,20,0,53.33,41.67
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A19LVWX8ZLO6CS,7 daysays,0.15,6,Y,6,4,0,6,9,44,3,0,24,20.83
3LV0310AB0FIJI1LDLADGNAZ3BMKDF,A19LVWX8ZLO6CS,15minutes,0.03,1200,Y,2,2,0,1,0,38,1,0,7.33,5.83
3LLXQSS3GH7EI0TIBFCZBVHJUIM2FF,A19LVWX8ZLO6CS,20 minutes,0.07,11,Y,1,0,0,2,0,33,2,0,7,5.83
3TR9CMHN3N8E2YCNTAQUMF33CUSBB8,A19LVWX8ZLO6CS,5 minutes,0,1,Y,1,2,0,1,0,37,1,0,7,5.83
3JG2O8WUZH7UTHWSYCP6CNBWVH79WZ,A19LVWX8ZLO6CS,5minutes,0.1,1,Y,0,0,4,1,2,33,1,4,4.33,3.33
3R8MKH13HFEBE45LFXZBD3ZAAT6QLU,A19LVWX8ZLO6CS,60 minutes,0.04,1,N,20,20,0,20,10,101,20,0,64.67,55
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,A19LVWX8ZLO6CS,30 minutes,0.5,1,Y,0,1,10,0,3,33,0,14,3.33,2.5
3LLXQSS3GH7EI0TIBFCZBVHJURL2FW,A19LVWX8ZLO6CS,20 minutes,0.09,46,Y,1,0,2,0,0,32,2,11,5,3.33
37ZHE2JT1D250TKIB56TICN73UM88S,A19LVWX8ZLO6CS,2hours,0.08,13,Y,10,0,0,10,0,50,3,0,34.33,30
3Z1VWDJDMCSL9FEEWY1JWQIRHY8F8V,A19LVWX8ZLO6CS,60 minutes,0.03,1,Y,2,0,0,0,0,27,1,0,7.33,5
3HYDIS22CWMMEZBE3G64NG7ZMZON5V,A19LVWX8ZLO6CS,3 minutes,0.2,13,Y,0,0,0,4,0,38,0,0,5.33,5.83
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM_1,A19LVWX8ZLO6CS,60minutes,0.4,1,Y,2,3,10,0,4,38,0,12,2.33,1.67
3YR6VNT5352GKULNOMVIY5386U67BS,A19LVWX8ZLO6CS,5 hours,1,1,Y,2,2,3,2,2,41,3,20,14.33,10.83
3L8V324VIVQEQ524CR2N49U2T8GF9N,A19LVWX8ZLO6CS,11 minutes 40 S,0.02,1060,Y,6,4,0,10,0,39,0,0,23,22.5
3TFUINTXMP1P2TVK22ZNBIA74UYT95,A19LVWX8ZLO6CS,60 minutes,0.05,294,Y,10,12,0,18,0,74,6,0,42.67,40.83
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP,A19LVWX8ZLO6CS,30 Minutes,0.04,86,Y,7,7,0,4,0,52,4,0,14.67,12.5
39393HGTI5QMIY6JHIT1M5IIGWJEOF,A19LVWX8ZLO6CS,15 minutes,0.12,200,N,20,20,0,10,10,112,20,0,63.33,50
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,A19LVWX8ZLO6CS,6 hours,0.05,1,Y,2,1,1,2,0,31,2,0,8.67,6.67
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,A19LVWX8ZLO6CS,5 minutes,0.08,47,Y,0,0,0,3,2,34,2,10,12.67,10.83
3HL3WX653BXN6QCFW6M6ATC7KPGPQT,A19LVWX8ZLO6CS,60 minutes,0.2,1,Y,3,2,10,1,17,38,2,14,11,8.33
3USMLONC9E5MDB1GD7ZQ6SDG14K85P,A19LVWX8ZLO6CS,2hours,0.08,1173,Y,1,2,0,2,0,42,1,0,6.67,5.83
38IOEK81UIQHG7BFV93TAAEQ3W496W,A19LVWX8ZLO6CS,10 minutes,0.03,1,N,20,20,0,10,0,113,20,0,53.33,41.67
3D3X1L1OBIRB9XRZKHJ79UYYYTK1VU_2,A19LVWX8ZLO6CS,60 minutes,0.2,346,Y,2,3,0,2,1,32,2,1,11.67,9.17
320GLP60AN6FM9FGZXIOL5AG38941T,A19LVWX8ZLO6CS,5 hours,0.05,18,Y,2,3,0,2,3,39,1,0,8.67,7.5
3MXFP9RGE565SQ20JA2GC60T4U4B22,A19LVWX8ZLO6CS,60 minutes,0.02,15,Y,4,1,0,3,0,39,2,0,12,10
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,A19LVWX8ZLO6CS,10 minutes,0.05,3,Y,0,0,2,0,0,26,0,10,1.33,0.83
3PN7FLVWM45XULC6NHQRXFJ9Z5WSYC,A19LVWX8ZLO6CS,3 hours,0.5,1,Y,10,12,0,11,0,50,11,0,43.33,36.67
3CF7EZI55RWEYNZ9U956QWWUG93IL2,A19LVWX8ZLO6CS,24 hours,0.02,2,Y,0,0,0,1,0,30,0,4,4,3.33
3EJ1F91ANSU6O8N3S3NGZ4GVCA2IZW,A19LVWX8ZLO6CS,6 days,0.1,363,Y,2,6,0,4,4,41,2,0,12.67,11.67
3VKCYEEK5GTFPTFE2CSUAPH4AEKG1E,A19LVWX8ZLO6CS,1 hour 40 minutes,0.35,5,Y,12,12,0,12,0,57,4,0,34.67,31.67
3MXFP9RGE565H89AY0KXMF94YTQB2U,A19LVWX8ZLO6CS,60 minutes,2,1,Y,4,5,18,4,10,46,2,20,21.67,18.33
39UNKKTVDF8Y9H8JFO9U930XMBHYGJ,A19LVWX8ZLO6CS,30 minutes,0.02,22,Y,3,4,0,10,0,52,4,0,19,19.17
3HBZ8AD97D3GZ7VEBIN9M1728BDNN9,A19LVWX8ZLO6CS,60minutes,0.04,1,N,20,20,0,10,0,113,20,0,53.33,41.67
3SFRD5IA5Z34MMJO249XJPJMVUHFBF,A19LVWX8ZLO6CS,60 minutes,0.1,1,Y,0,0,4,0,0,39,1,7,6,4.17
3L4EWVFWCZFLPLXQZ7MWBK7MU2X9OK,A19LVWX8ZLO6CS,60 Minutes,0.03,1,Y,1,0,0,1,0,31,1,0,5,4.17
3EOZAW762AHX3MFSNYKKE4EQ4INH8Q,A19LVWX8ZLO6CS,2 hours,0.5,49,N,20,20,0,10,0,109,20,0,66.67,50
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,A19LVWX8ZLO6CS,5 minutes,0.02,152,Y,0,0,0,1,0,32,0,0,14,11.67
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,A19LVWX8ZLO6CS,45 minutes,0.01,355,Y,0,1,0,1,0,31,0,0,5,4.17
3DBJK6OC3AF4JLMP40JUKZIT4XNYF3,A19LVWX8ZLO6CS,30minutes,0.2,12,Y,1,1,0,1,1,31,1,3,8,5.83
3DPZKFEUVSIPT2ERNEAT4GS1UAKI44,A19LVWX8ZLO6CS,30minutes,0.5,6,Y,4,4,12,0,10,35,1,20,1.33,0.83
3K27O5FVBZ6Y1U1OKHZVRLOYVIWW5C,A19LVWX8ZLO6CS,30 minutes,0.2,26,Y,1,1,4,1,4,26,2,13,6.33,5
3YE2HAAZLWT35EOEU3RFNMQ5RC4ZU3,A19LVWX8ZLO6CS,7 minutes,0.15,5,Y,2,1,2,1,2,31,2,10,6.67,5
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,A19LVWX8ZLO6CS,60 minutes,0.02,230,Y,0,0,0,3,0,31,1,0,6,5.83
3GRRK9BQWRPD54OGKFA4YQ8537VPDJ,A19LVWX8ZLO6CS,60minutes,0.05,688,Y,2,3,0,1,10,38,2,10,11,8.33
3HQI26VRPRS5H4RSBPY2KOCMRQ13R0,A19LVWX8ZLO6CS,60 minutes,0.02,6,Y,0,2,0,2,0,38,0,11,3,3.33
3K3X4GGOSLN6JKEE0NBXYD5PSA6MC7,A19LVWX8ZLO6CS,30minutes,0.05,902,Y,0,2,0,0,0,37,1,0,6,4.17
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,A19LVWX8ZLO6CS,60 minutes,0.02,20,Y,0,0,2,1,1,30,1,8,5,4.17
3AA189Q6B51983MEFLORU493K7KMWE,A19LVWX8ZLO6CS,60 minutes,0.04,1,Y,2,0,4,1,0,39,1,3,7.67,5.83
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,A19LVWX8ZLO6CS,60minutes,0.4,1,Y,3,2,0,2,7,51,1,0,12,9.17
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,A19LVWX8ZLO6CS,60 minutes,0.03,40,Y,1,2,1,7,0,50,2,0,23,20.83
3L8V324VIV0JU2BOPG7PUH68F6NF91,A19LVWX8ZLO6CS,60 minutes,0.03,2331,Y,0,0,0,0,0,38,0,0,1,0.83
3PBMWYW3D4VOVNNOVMGLZF23LEGX22,A19LVWX8ZLO6CS,30 minutes,0.04,5,Y,1,1,3,0,1,32,1,7,5.67,4.17
3T1550FWLKIS93DC7DPTY5M29UHWXP,A19LVWX8ZLO6CS,60minutes,0.1,1906,Y,1,0,0,0,3,27,0,16,1.33,0.83
3DXFGU9SKNVTS8DGXQ8KL6UJIRCXE8,A19LVWX8ZLO6CS,2minutes,0.04,203,N,20,20,0,10,0,112,20,0,63.33,58.33
3I5ZXD44JVHG9J4AOHWFS96B5XBJCP,A19LVWX8ZLO6CS,4 minutes,0.01,1,Y,0,0,0,0,10,31,1,0,3.67,4.17
3ZNMTDKQXPRIYI9V3LJLED84I1Z2VB,A19LVWX8ZLO6CS,60minutes,0.3,1,Y,3,3,0,2,2,50,2,4,17,13.33
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,A19LVWX8ZLO6CS,5 minutes,0.12,1,Y,0,1,20,1,10,23,2,20,8.33,6.67
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,A19LVWX8ZLO6CS,7 days,0.1,20,Y,0,0,10,0,0,30,1,20,4.67,3.33
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,A19LVWX8ZLO6CS,60 minutes,0.2,1,Y,2,0,10,0,2,32,1,20,2.67,1.67
378UBY8FQ61LFCJMHZWZTRZI59A8TB,A19LVWX8ZLO6CS,10 minutes,0.08,42,Y,4,4,0,3,1,38,3,0,14,11.67
3VNGVF6XGJQ1QLT33BZ7QKAQGJTGC8,A19LVWX8ZLO6CS,2 hours,0.07,2676,Y,0,0,0,0,0,35,0,11,4.67,4.17
3AA189Q6C6TLNJILLV2LOGYDJT7MWV,A19LVWX8ZLO6CS,60 minutes,0.1,20,Y,0,1,0,0,0,44,1,10,8.67,5.83
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A19LVWX8ZLO6CS,60 minutes,0.04,2161,Y,20,20,0,10,0,116,20,0,53.33,41.67
